player_id,source_player_id,player_name,normalized_player_name,team_id,role,valid_from,valid_to,source_id,source_record_locator,identity_method,identity_confidence,quality_flags,provenance
oe:player:52b4f060a577ff87c99118d97fa75f4,oe:player:52b4f060a577ff87c99118d97fa75f4,Josedeodo,josedeodo,oe:team:8eb884e168f28402ce685bedebb5250,JGL,2026-01-24T21:24:34Z,2026-07-26T21:25:07Z,src_oracles_elixir,data/raw/oracles_elixir/2026_LoL_esports_match_data_from_OraclesElixir.csv#line=4851,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5385f74da3e5deb5b66d9a1ee56cf97,oe:player:5385f74da3e5deb5b66d9a1ee56cf97,Dhokla,dhokla,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,TOP,2025-08-09T20:06:58Z,2025-09-07T22:50:47Z,src_oracles_elixir,data/raw/oracles_elixir/2025_LoL_esports_match_data_from_OraclesElixir.csv#line=101191,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5385f74da3e5deb5b66d9a1ee56cf97,oe:player:5385f74da3e5deb5b66d9a1ee56cf97,Dhokla,dhokla,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,TOP,2022-03-27T20:08:54Z,2023-03-26T22:57:23Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=122738,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5385f74da3e5deb5b66d9a1ee56cf97,oe:player:5385f74da3e5deb5b66d9a1ee56cf97,Dhokla,dhokla,oe:team:da1143bf9a245b78a8dc86417de85b3,TOP,2026-01-25T23:15:54Z,2026-07-25T21:01:06Z,src_oracles_elixir,data/raw/oracles_elixir/2026_LoL_esports_match_data_from_OraclesElixir.csv#line=5258,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5385f74da3e5deb5b66d9a1ee56cf97,oe:player:5385f74da3e5deb5b66d9a1ee56cf97,Dhokla,dhokla,oe:team:e758ebe9a5a2cc81b9c8078479c2d87,TOP,2023-06-15T00:03:10Z,2024-08-23T23:39:20Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=72595,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:574ca24646bea0e378813db54092903,oe:player:574ca24646bea0e378813db54092903,Ruin,ruin,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,TOP,2020-01-25T22:32:55Z,2020-08-09T23:40:56Z,src_oracles_elixir,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3902,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5a4ed34a7baf1d14942def4ab49ce38,oe:player:5a4ed34a7baf1d14942def4ab49ce38,Diamond,diamond,oe:team:0dbb780176ecad18f17292d1f5653af,SUP,2023-06-14T23:03:07Z,2023-07-07T21:07:36Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=72575,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5a4ed34a7baf1d14942def4ab49ce38,oe:player:5a4ed34a7baf1d14942def4ab49ce38,Diamond,diamond,oe:team:2e66da41dc460dd378e3bcc57042d31,SUP,2021-01-16T01:56:42Z,2021-08-01T23:43:37Z,src_oracles_elixir,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36035,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5a727a99621f9e7f1d95f26fb6e5c52,oe:player:5a727a99621f9e7f1d95f26fb6e5c52,Tenacity,tenacity,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,TOP,2021-08-01T22:41:19Z,2023-03-26T00:23:26Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=3139,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:5ae7a60e2b2349c8bae7dbb67a394c9,oe:player:5ae7a60e2b2349c8bae7dbb67a394c9,Finn,finn,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,TOP,2021-02-06T03:07:21Z,2021-08-01T23:43:37Z,src_oracles_elixir,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36091,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
