normalized_dataset,normalized_primary_key,source_id,raw_snapshot_sha256,source_record_locator,normalizer_version,normalization_timestamp_utc,direct_evidence,inference_used,inference_rule,quality_flags
games,ESPORTSTMNT01/1291812,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4262,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1291835,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4274,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1292345,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4670,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1292354,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4718,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1295383,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=8138,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1295402,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=8150,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1304356,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=7130,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1304374,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=7142,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1304391,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=7154,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1304399,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=7166,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1304700,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=7658,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1304739,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=7706,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1304768,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=7730,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1304785,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=7742,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1314115,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=27494,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1314148,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=27554,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1324117,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=27458,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1324153,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=27518,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1324190,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=27566,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1324422,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=27938,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1324430,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=27962,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1324468,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=27986,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1324479,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=28010,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1324492,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=28022,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1403832,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=51734,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1403840,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=51782,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1404251,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=52742,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1404256,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=52778,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1404270,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=52814,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1404282,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=52826,player_model_v2_stage_3d_normalizer_v1,,true,false,,
