season,split,period_id,fantasy_lock_time,series_id,best_of,maximum_possible_games,scheduled_series_count,minimum_possible_games,BO_profile
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,67513,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,67522,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,67516,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,67516,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,67513,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_2,2025-05-12T00:00:00+00:00,2025-05-17 20:08:05+00:00,67897,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_2,2025-05-12T00:00:00+00:00,2025-05-17 20:08:05+00:00,67900,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_2,2025-05-12T00:00:00+00:00,2025-05-17 20:08:05+00:00,67891,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,69534,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,69525,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,69528,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,69525,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,70269,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,70266,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,70263,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,70272,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,70266,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,70673,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,70670,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,70673,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,70676,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,70679,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,71058,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,71053,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,71058,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,71053,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,71048,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,71043,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,71048,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,71043,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,71742,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,71747,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,71737,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,71742,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,71747,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-09-01T00:00:00+00:00,2025-09-05 20:05:46+00:00,72293,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-09-01T00:00:00+00:00,2025-09-05 20:05:46+00:00,72044,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2025,split_3,2025-09-01T00:00:00+00:00,2025-09-05 20:05:46+00:00,72255,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:0a890f671f8ce6bbde59,2026-05-02 20:10:20+00:00,77322,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:0a890f671f8ce6bbde59,2026-05-02 20:10:20+00:00,77316,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:0a890f671f8ce6bbde59,2026-05-02 20:10:20+00:00,77319,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:74efed7e4a28a304cc30,2026-04-04 20:17:46+00:00,76138,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:74efed7e4a28a304cc30,2026-04-04 20:17:46+00:00,76138,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:74efed7e4a28a304cc30,2026-04-04 20:17:46+00:00,75990,,,1,,UNQUALIFIED_NO_RESULT_PARSING
2026,split_1,period:74efed7e4a28a304cc30,2026-04-04 20:17:46+00:00,76135,,,1,,UNQUALIFIED_NO_RESULT_PARSING
