player,target_cutoff,prior_games,kp_recent,kp_long,kp_recent_minus_long,damage_share_recent,damage_share_long,damage_share_delta,gold_share_recent,gold_share_long,gold_share_delta,csdiffat15_recent,csdiffat15_long,csdiffat15_delta,latest_source_match_timestamp,source
Blaber,2024-06-15 20:11:50+00:00,23,0.7701465201465202,0.7716491746240031,-0.0015026544774828787,0.14618133333333333,0.15689130869565215,-0.010709975362318824,0.17374766666666666,0.18409004347826083,-0.010342376811594167,-11.0,5.695652173913044,-16.695652173913043,2024-03-30 22:05:18+00:00,Oracle Elixir prior completed games
Eyla,2024-06-15 20:11:50+00:00,26,0.5952380952380952,0.7204098596547109,-0.1251717644166157,0.07905303333333334,0.07975142307692308,-0.000698389743589739,0.09603963333333332,0.11459269615384614,-0.01855306282051282,-1.3333333333333333,14.846153846153847,-16.17948717948718,2024-03-22 22:49:47+00:00,Oracle Elixir prior completed games
CoreJJ,2024-06-15 20:11:50+00:00,33,0.6368530020703933,0.7530920181108632,-0.11623901604046993,0.07733023333333333,0.07995658181818181,-0.0026263484848484814,0.11225573333333334,0.11197349090909091,0.00028224242424243484,-20.333333333333332,-10.181818181818182,-10.15151515151515,2024-03-31 22:47:00+00:00,Oracle Elixir prior completed games
Impact,2024-06-15 20:11:50+00:00,33,0.5556935817805383,0.586607979610066,-0.030914397829527762,0.20509733333333333,0.21243621515151512,-0.007338881818181792,0.23131866666666667,0.20891321212121214,0.022405454545454534,-9.333333333333334,2.1515151515151514,-11.484848484848484,2024-03-31 22:47:00+00:00,Oracle Elixir prior completed games
Zven,2024-06-22 20:11:50+00:00,3,0.6682539682539682,0.6682539682539682,0.0,0.36349366666666666,0.36349366666666666,0.0,0.2549536666666667,0.2549536666666667,0.0,7.333333333333333,7.333333333333333,0.0,2024-06-16 00:41:03+00:00,Oracle Elixir prior completed games
FBI,2024-06-22 20:11:50+00:00,22,0.6619047619047619,0.7311237373737374,-0.06921897546897549,0.23499633333333336,0.30841609090909095,-0.07341975757575758,0.255392,0.23940331818181815,0.01598868181818186,0.0,-10.045454545454545,10.045454545454545,2024-06-16 20:57:47+00:00,Oracle Elixir prior completed games
Blaber,2024-06-22 20:11:50+00:00,26,0.8094541910331383,0.7760112919019803,0.033442899131158055,0.182218,0.15981361923076923,0.022404380769230764,0.16882699999999998,0.18232892307692308,-0.013501923076923106,5.0,5.615384615384615,-0.615384615384615,2024-06-16 00:41:03+00:00,Oracle Elixir prior completed games
Inspired,2024-06-22 20:11:50+00:00,29,0.7244152046783626,0.7165509262313028,0.007864278447059836,0.279241,0.14641063103448276,0.13283036896551725,0.24606166666666665,0.18497041379310344,0.06109125287356321,42.0,10.724137931034482,31.275862068965516,2024-06-15 22:02:04+00:00,Oracle Elixir prior completed games
APA,2024-06-22 20:11:50+00:00,36,0.6915014809751652,0.6874476672332485,0.004053813741916712,0.27056633333333335,0.2923941111111111,-0.021827777777777724,0.3012856666666666,0.2589184166666667,0.04236724999999991,9.0,-1.6944444444444444,10.694444444444445,2024-06-15 22:02:04+00:00,Oracle Elixir prior completed games
Quid,2024-06-22 20:11:50+00:00,28,0.7075396825396826,0.7347987755361489,-0.02725909299646634,0.30265933333333334,0.29057025,0.012089083333333361,0.26564133333333334,0.25941575000000006,0.006225583333333284,12.333333333333334,4.642857142857143,7.690476190476191,2024-06-16 20:57:47+00:00,Oracle Elixir prior completed games
Thanatos,2024-06-22 20:11:50+00:00,3,0.4836744639376218,0.4836744639376218,0.0,0.16449233333333332,0.16449233333333332,0.0,0.21368233333333334,0.21368233333333334,0.0,7.0,7.0,0.0,2024-06-16 00:41:03+00:00,Oracle Elixir prior completed games
Licorice,2024-06-22 20:11:50+00:00,3,0.37142857142857144,0.37142857142857144,0.0,0.15529456666666666,0.15529456666666666,0.0,0.219415,0.219415,0.0,-7.0,-7.0,0.0,2024-06-16 00:41:03+00:00,Oracle Elixir prior completed games
