player,team_id,role,prediction_period_id,target_cutoff,prior_games,kp_recent,kp_long,kp_recent_minus_long,damage_share_recent,gold_share_recent,csdiffat15_recent,latest_source_match_timestamp,source
Bwipo,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,2025-02-10T00:00:00+00:00,2025-02-10 00:46:00+00:00,95,0.7792717086834734,0.5857591096383559,0.19351259904511753,0.26476866666666665,0.23718366666666668,9.0,2025-02-09 23:49:15+00:00,Oracle's Elixir existing immutable player-game CSV
Wizer,oe:team:61450737f7b683db4da7b3e0bf0dced,TOP,2025-02-10T00:00:00+00:00,2025-02-10 00:46:00+00:00,91,0.7316176470588235,0.5935943406266772,0.13802330643214633,0.24732300000000004,0.20048533333333332,16.666666666666668,2025-02-09 22:10:45+00:00,Oracle's Elixir existing immutable player-game CSV
Yeon,oe:team:8eb884e168f28402ce685bedebb5250,BOT,2025-02-17T00:00:00+00:00,2025-02-22 19:13:32+00:00,99,0.6940267335004178,0.6687825930545087,0.025244140445909058,0.30380233333333334,0.3046733333333333,-6.666666666666667,2025-02-16 23:17:16+00:00,Oracle's Elixir existing immutable player-game CSV
FBI,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,BOT,2025-02-17T00:00:00+00:00,2025-02-22 19:13:32+00:00,52,0.7312801932367149,0.7122916041819245,0.018988589054790395,0.2829076666666667,0.263316,2.6666666666666665,2025-02-15 20:02:58+00:00,Oracle's Elixir existing immutable player-game CSV
River,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,JGL,2025-02-17T00:00:00+00:00,2025-02-22 19:13:32+00:00,75,0.7126610305958132,0.719123698840785,-0.00646266824497177,0.21736,0.19423666666666664,6.0,2025-02-15 20:02:58+00:00,Oracle's Elixir existing immutable player-game CSV
Inspired,oe:team:2e66da41dc460dd378e3bcc57042d31,JGL,2025-02-17T00:00:00+00:00,2025-02-22 19:13:32+00:00,98,0.7971781305114639,0.748661556769183,0.04851657374228091,0.16062933333333332,0.206213,13.0,2025-02-15 22:08:12+00:00,Oracle's Elixir existing immutable player-game CSV
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,2025-02-17T00:00:00+00:00,2025-02-22 19:13:32+00:00,99,0.7376775271512114,0.6631531756908148,0.0745243514603966,0.3270133333333333,0.2430846666666667,-2.3333333333333335,2025-02-16 23:17:16+00:00,Oracle's Elixir existing immutable player-game CSV
Loki,oe:team:fc8e90107dabb9a35c490b0d86adea0,MID,2025-02-17T00:00:00+00:00,2025-02-22 19:13:32+00:00,107,0.5833333333333334,0.7034322136502684,-0.12009888031693505,0.24581166666666668,0.23677533333333334,-3.0,2025-02-16 19:58:13+00:00,Oracle's Elixir existing immutable player-game CSV
Zven,oe:team:fc8e90107dabb9a35c490b0d86adea0,BOT,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,47,0.6558343617167147,0.7152379111473791,-0.05940354943066439,0.289221,0.25313766666666665,-5.666666666666667,2025-04-20 21:02:57+00:00,Oracle's Elixir existing immutable player-game CSV
Tomo,oe:team:0dbb780176ecad18f17292d1f5653af,BOT,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,78,0.7583151779230212,0.7013967742829362,0.056918403640084936,0.314145,0.25880866666666663,2.3333333333333335,2025-04-20 22:53:25+00:00,Oracle's Elixir existing immutable player-game CSV
