player_id,prediction_period_id,target_cutoff,context_prelock_features,source_max_timestamp,cutoff_safe,feature_count,feature_missing_count,quality_status
oe:player:526e67744f0b90739ec17c191c62d24,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
oe:player:574ca24646bea0e378813db54092903,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":0.25,""playstyle_class_2_probability"":0.25,""playstyle_uncertainty"":0.7196394630357186,""playstyle_unknown_probability"":0.5,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,3,PASS
oe:player:5b4a9ba6121c6d0e37076f8f3523000,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
oe:player:5cc4071294a16477e992b3c8a2b7715,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
oe:player:61f2c08eb43e1b4fc0bdd988013ee49,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":0.25,""playstyle_class_2_probability"":0.25,""playstyle_uncertainty"":0.7196394630357186,""playstyle_unknown_probability"":0.5,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,3,PASS
oe:player:63ba5c5e5bb73ace706183b5e05a27e,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
oe:player:6841f2d68619d53bdd1cdbf30b5be2c,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":0.25,""playstyle_class_2_probability"":0.25,""playstyle_uncertainty"":0.7196394630357186,""playstyle_unknown_probability"":0.5,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,3,PASS
oe:player:73d2b65353d7b00e0f198ffdc085edc,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
oe:player:7adc518d589f32912c06de8dae7848e,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
oe:player:7e0e7ac2a199e8e2ecb30499a3b2153,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,"{""bo_format_context"":null,""canonical_matchup_probability"":null,""playstyle_class_1_probability"":null,""playstyle_class_2_probability"":null,""playstyle_uncertainty"":null,""playstyle_unknown_probability"":null,""prior_above_role_median_rate"":0.5,""prior_champion_observation_count"":0,""prior_core_state"":-0.7221320343559643,""prior_effective_evidence"":0.0,""prior_median_performance"":15.0,""prior_player_rating"":1500.0,""prior_q25_performance"":15.0,""prior_raw_observation_count"":0,""prior_residual_uncertainty"":1.8606601717798212,""prior_role_adjusted_kp"":0.0,""prior_role_relative_rating"":0.0,""prior_starter_reliability"":0.5,""prior_team_state"":-0.7221320343559643,""prior_team_strength"":-0.363492424049175,""schedule_opponent_context"":null}",,True,21,7,PASS
