captured_at_utc,round_id,round_name,round_index_in_split,market_opens_at,market_closes_at,market_is_open,round_player_id,pro_player_id,summoner_name,role,team_id,team_code,team_name,price,previous_round_price,price_change,is_split_start_price,average_round_score,last_round_score,min_round_score,max_round_score,stats_last_round_price,stats_split_id,stats_split_name,stats_split_year,opponent_codes,opponent_sides,match_timestamps,image_url,source_endpoint
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,eca61d6d-eabe-470d-8310-55e4488854db,6aada3b3-df5c-4ed9-b908-ad17e484a174,Gakgos,top,848fdaaf-589a-4e94-b3dc-90299584db0b,FLY,FlyQuest,16,15,1.0,False,14.567499999999999,21.134999999999998,8,21.134999999999998,16,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,TLAW,red,2026-08-09T23:00:00.000Z,http://static.lolesports.com/players/1753348399682_image6125.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,03d3b724-fb47-4e81-b5b6-549b47c6b27b,7b168cdb-f74e-4353-9b35-3594d8fd40c0,HamBak,jungle,3dbff4da-4675-4f41-847b-342815a72e39,SEN,Sentinels,15.7,18.5,-2.8,False,20.2,8.57,8.57,31.83,15.7,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,SR,red,2026-08-08T23:00:00.000Z,http://static.lolesports.com/players/1758213278005_hambak.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,54146257-96e9-4fbb-a46b-9ba67671964c,cddfc250-82c2-4a9c-ab3d-159f64ee29b0,Rahel,bottom,3dbff4da-4675-4f41-847b-342815a72e39,SEN,Sentinels,15,17.7,-2.7,False,17.574166666666667,8.145,8.145,27.003333333333334,15,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,SR,red,2026-08-08T23:00:00.000Z,http://static.lolesports.com/players/1753348624075_image6422.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,4e88f704-3f59-4461-98a1-6f8a907c30f5,e53238fc-40b9-4add-95f5-0986f55e7e0b,DARKWINGS,mid,3dbff4da-4675-4f41-847b-342815a72e39,SEN,Sentinels,15.1,17.7,-2.6,False,14.844999999999999,8.81,8.81,20.88,15.1,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,SR,red,2026-08-08T23:00:00.000Z,http://static.lolesports.com/players/1753348536253_image6223.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,2463344e-e18a-46d3-9216-ba5c47db2feb,5a830e34-4aa1-456c-a253-85e99f933611,Gryffinn,jungle,848fdaaf-589a-4e94-b3dc-90299584db0b,FLY,FlyQuest,19.5,16.5,3.0,False,20.42,31.365000000000002,9.475,31.365000000000002,19.5,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,TLAW,red,2026-08-09T23:00:00.000Z,http://static.lolesports.com/players/1753429869537_image622.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,bd9391a2-067b-4e2f-aa20-60827605f3cf,657c0b93-29f2-476d-ab23-4633592e62a1,Cryogen,support,848fdaaf-589a-4e94-b3dc-90299584db0b,FLY,FlyQuest,17.9,15,2.9,False,20.91,29.25,12.569999999999999,29.25,17.9,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,TLAW,red,2026-08-09T23:00:00.000Z,http://static.lolesports.com/players/1686642979840_placeholder.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,e3d1333f-9165-472c-bd48-04599743c06c,81be3e3f-7ae8-4802-8b9b-5be817e59314,Ignar,support,cf32ee67-1ed0-483e-8c80-9a45a2406ec7,DIG,Dignitas,12.8,12.1,0.7,False,13.959999999999999,16.646666666666665,11.273333333333333,16.646666666666665,12.8,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,LYON,red,2026-08-09T20:00:00.000Z,http://static.lolesports.com/players/1705026333045_ignar.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,56b538d9-953f-492e-b752-4d35d645158a,fa1800bf-32f8-424a-9aa8-f78db37971e1,Morgan,top,40dbf5d2-24ba-4894-b90f-4397fe4a53ea,TLAW,Team Liquid Alienware,16.6,17.2,-0.6,False,16.035,16.7,15.370000000000001,16.7,16.6,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,FLY,blue,2026-08-09T23:00:00.000Z,http://static.lolesports.com/players/1758213645297_morgan.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,c9a86dc6-b0dd-42a0-9f44-00fc0bd6e691,5611f586-88b0-4431-8d57-edd4e69e94d4,Berserker,bottom,47a8978e-8e16-434c-ba6d-a9e7bb1956ef,LYON,LYON,24.3,21.9,2.4,False,30.2575,34.54,25.974999999999998,34.54,24.3,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DIG,blue,2026-08-09T20:00:00.000Z,http://static.lolesports.com/players/1758212268095_berserker.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,60170b47-a2b9-4454-9377-9b15b3e86374,370a2030-9673-4b3e-b1bc-0ea9d9ba2df1,Dhokla,top,47a8978e-8e16-434c-ba6d-a9e7bb1956ef,LYON,LYON,18.6,19.8,-1.2,False,19.375,16.9,16.9,21.85,18.6,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DIG,blue,2026-08-09T20:00:00.000Z,http://static.lolesports.com/players/1687315758448_NRG_DHOKLA.png,https://api.lcsofficial.gg/market
