captured_at_utc,round_id,round_name,round_index_in_split,market_opens_at,market_closes_at,market_is_open,round_player_id,pro_player_id,summoner_name,role,team_id,team_code,team_name,price,previous_round_price,price_change,is_split_start_price,average_round_score,last_round_score,min_round_score,max_round_score,stats_last_round_price,stats_split_id,stats_split_name,stats_split_year,opponent_codes,opponent_sides,match_timestamps,image_url,source_endpoint
2026-08-21T01:50:58.599311Z,d8a7813c-a2b5-40ce-bad4-77bcd6826ccc,Round 5 (Split 3),4,2026-08-18T15:00:00.000Z,2026-08-22T20:00:00.000Z,True,b0fe2b71-5e87-4210-b0ff-2f4668606ec2,48c588fd-35f6-4f4b-a7aa-90d6b15a607f,Loki ,mid,1155b4eb-b55e-4cf2-9d66-9476d31db16f,C9,Cloud9 Kia,20.9,19.4,1.5,False,21.816666666666666,26.605,10.515,26.605,20.9,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,,,,http://static.lolesports.com/players/1739477209687_headsshot.png,https://api.lcsofficial.gg/market
2026-08-21T01:50:58.599311Z,d8a7813c-a2b5-40ce-bad4-77bcd6826ccc,Round 5 (Split 3),4,2026-08-18T15:00:00.000Z,2026-08-22T20:00:00.000Z,True,a9b24e1f-bb14-442b-b424-70dcbd1dd558,5dfe05bf-d04f-4d10-baa0-abcc8c44916b,FBI,bottom,cf32ee67-1ed0-483e-8c80-9a45a2406ec7,DIG,Dignitas,11.6,12.1,-0.5,False,11.560833333333335,10.38,5.109999999999999,16.150000000000002,11.6,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,FLY|DSG,red|red,2026-08-23T23:00:00.000Z|2026-08-22T23:00:00.000Z,http://static.lolesports.com/players/1753349110894_image6224.png,https://api.lcsofficial.gg/market
2026-08-21T01:50:58.599311Z,d8a7813c-a2b5-40ce-bad4-77bcd6826ccc,Round 5 (Split 3),4,2026-08-18T15:00:00.000Z,2026-08-22T20:00:00.000Z,True,6a19921a-efd7-4c65-a0c1-7578139448e8,3f0fbcc9-0ad5-41c1-af28-35aa47117f36,Palafox,mid,cf32ee67-1ed0-483e-8c80-9a45a2406ec7,DIG,Dignitas,10.2,12.1,-1.9,False,10.365833333333333,4.703333333333333,4.703333333333333,15.256666666666668,10.2,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,FLY|DSG,red|red,2026-08-23T23:00:00.000Z|2026-08-22T23:00:00.000Z,http://static.lolesports.com/players/1739479665255_ggsdgs21.png,https://api.lcsofficial.gg/market
2026-08-21T01:50:58.599311Z,d8a7813c-a2b5-40ce-bad4-77bcd6826ccc,Round 5 (Split 3),4,2026-08-18T15:00:00.000Z,2026-08-22T20:00:00.000Z,True,df37c1f0-ce5f-46d0-b500-5b22af03d564,64124525-7371-441e-8d57-66d8563d9d29,Impact,top,3dbff4da-4675-4f41-847b-342815a72e39,SEN,Sentinels,11.7,11.4,0.3,False,11.46875,13.153333333333334,7.675000000000001,17.293333333333333,11.7,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,FLY|DSG,red|blue,2026-08-22T20:00:00.000Z|2026-08-23T20:00:00.000Z,http://static.lolesports.com/players/1726214749557_TL_1500x1500_IMPACT_02.png,https://api.lcsofficial.gg/market
2026-08-21T01:50:58.599311Z,d8a7813c-a2b5-40ce-bad4-77bcd6826ccc,Round 5 (Split 3),4,2026-08-18T15:00:00.000Z,2026-08-22T20:00:00.000Z,True,d26f26c5-6702-4e7a-b60c-9b1a431eb068,0da01860-823a-43a5-9359-d76fa47792e6,Srtty,top,a7520418-4986-4870-8c86-7c5acd3f443c,DSG,Disguised,10.5,11.7,-1.2,False,8.301666666666666,7.359999999999999,2.805,14.356666666666667,10.5,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,SEN|DIG,red|blue,2026-08-23T20:00:00.000Z|2026-08-22T23:00:00.000Z,http://static.lolesports.com/players/1739516062006_ggsdgs4.png,https://api.lcsofficial.gg/market
2026-08-21T01:50:58.599311Z,d8a7813c-a2b5-40ce-bad4-77bcd6826ccc,Round 5 (Split 3),4,2026-08-18T15:00:00.000Z,2026-08-22T20:00:00.000Z,True,e94566e7-dbae-41fb-8c85-a9d059254195,72bc17f3-6be0-406b-99d5-a81186829c51,huhi,support,3dbff4da-4675-4f41-847b-342815a72e39,SEN,Sentinels,16.9,17,-0.1,False,18.74,17.176666666666666,13.7,23.483333333333334,16.9,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,FLY|DSG,red|blue,2026-08-22T20:00:00.000Z|2026-08-23T20:00:00.000Z,http://static.lolesports.com/players/1739478876354_ggsdgs8.png,https://api.lcsofficial.gg/market
2026-08-21T01:50:58.599311Z,d8a7813c-a2b5-40ce-bad4-77bcd6826ccc,Round 5 (Split 3),4,2026-08-18T15:00:00.000Z,2026-08-22T20:00:00.000Z,True,08367231-b884-441f-8b27-24e3086ad6f6,3d069aeb-9508-4c56-a390-b6dda95527c4,Quad,mid,848fdaaf-589a-4e94-b3dc-90299584db0b,FLY,FlyQuest,16.6,18.2,-1.6,False,16.240000000000002,12.495000000000001,7.555,28.46,16.6,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,SEN|DIG,blue|blue,2026-08-22T20:00:00.000Z|2026-08-23T23:00:00.000Z,http://static.lolesports.com/players/1726214531962_FLY_1500x1500_QUAD_01.png,https://api.lcsofficial.gg/market
2026-08-21T01:50:58.599311Z,d8a7813c-a2b5-40ce-bad4-77bcd6826ccc,Round 5 (Split 3),4,2026-08-18T15:00:00.000Z,2026-08-22T20:00:00.000Z,True,a0eb2615-ed6d-465e-a812-91e4c3738a43,4cce3077-b9b4-45d7-9f12-4cb74b272196,Isles,support,47a8978e-8e16-434c-ba6d-a9e7bb1956ef,LYON,LYON,20.7,21.6,-0.9,False,22.678749999999997,18.88,18.22,33.525,20.7,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,,,,http://static.lolesports.com/players/1739478353611_ggsdgs123.png,https://api.lcsofficial.gg/market
2026-08-21T01:50:58.599311Z,d8a7813c-a2b5-40ce-bad4-77bcd6826ccc,Round 5 (Split 3),4,2026-08-18T15:00:00.000Z,2026-08-22T20:00:00.000Z,True,08971407-f086-46fd-bfc5-75e8e33b50ed,728578de-d384-40d7-9008-22dbb71806d3,Saint,mid,47a8978e-8e16-434c-ba6d-a9e7bb1956ef,LYON,LYON,21.6,21.7,-0.1,False,22.247083333333332,22.343333333333334,18.77,27.465,21.6,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,,,,http://static.lolesports.com/players/1739479237170_ggsdgs4.png,https://api.lcsofficial.gg/market
2026-08-21T01:50:58.599311Z,d8a7813c-a2b5-40ce-bad4-77bcd6826ccc,Round 5 (Split 3),4,2026-08-18T15:00:00.000Z,2026-08-22T20:00:00.000Z,True,ce9af1ef-8134-4f7f-979f-727afcb0b142,4422bc32-4b72-4eeb-afc0-76ce0946d4bb,Blaber,jungle,1155b4eb-b55e-4cf2-9d66-9476d31db16f,C9,Cloud9 Kia,18.8,18.3,0.5,False,19.221666666666668,20.955,10.375,27,18.8,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,,,,http://static.lolesports.com/players/1739477380185_ggsdgsd.png,https://api.lcsofficial.gg/market
