chronological_partition,years,row_count,protected,path,sha256,access_policy
development_2022_2023,"[2022,2023]",1992,false,data/processed/player_model_v2/stage_3e_03/partitions/development_2022_2023.csv,0c323ce0ad5520fbd55f35a44953d75448785b24028ee7ab6339145c6e77fbd0,STANDARD_STAGE_POLICY
exposed_evaluation_2026,[2026],637,false,data/processed/player_model_v2/stage_3e_03/partitions/exposed_evaluation_2026.csv,3e845d4511c95104251b6a1b8916a30e1f9b56d77d1495b1ba075987c63defce,STANDARD_STAGE_POLICY
protected_frozen_validation_2025,[2025],668,true,data/processed/player_model_v2/stage_3e_03/partitions/protected_frozen_validation_2025.csv,d524db700ce208666de84684f1c824094cc45cc94b9baf35ac0b1fe4f1823d44,SEALED_NO_OUTCOME_REPORTING
protected_selection_2024,[2024],675,true,data/processed/player_model_v2/stage_3e_03/partitions/protected_selection_2024.csv,2653f2f2dec712cfbb1f9a67e0478d6935d16a4f1c4fdafdf8b088e3155d97be,SEALED_NO_OUTCOME_REPORTING
warmup_2020_2021,"[2020,2021]",2107,false,data/processed/player_model_v2/stage_3e_03/partitions/warmup_2020_2021.csv,f6eab95c434ff550c98263eba900569d08a31af73574b833b3681153b129c9bf,STANDARD_STAGE_POLICY
