player_id,team_id,role,prediction_period_id,target_cutoff,core_score,primary_core,additional_core,effective_evidence,residual_uncertainty,source_max_timestamp,cutoff_safe,quality_status
oe:player:5cc4071294a16477e992b3c8a2b7715,oe:team:8eb884e168f28402ce685bedebb5250,jgl,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:7e0e7ac2a199e8e2ecb30499a3b2153,oe:team:8eb884e168f28402ce685bedebb5250,mid,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:f25df399390d86b9a1e83216dae597b,oe:team:8eb884e168f28402ce685bedebb5250,bot,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:63ba5c5e5bb73ace706183b5e05a27e,oe:team:a22510a4756fa424cb0771b13261139,mid,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,True,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:84bff3a326833c7c9181c698f676878,oe:team:a22510a4756fa424cb0771b13261139,top,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:88b780b9f178fd2e50a458ae282cd7c,oe:team:a22510a4756fa424cb0771b13261139,sup,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:a2de87eae98d0ab3b85567026561a51,oe:team:a22510a4756fa424cb0771b13261139,jgl,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:bdb90de1ad7c2b7c38ce6f1177c1f62,oe:team:a22510a4756fa424cb0771b13261139,bot,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:4046e5819c6e57ec8fa00b56834d8aa,oe:team:c334c629fea759876e9e04afbe4aee7,bot,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,True,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:419bc348a61e7433593ea741189d833,oe:team:c334c629fea759876e9e04afbe4aee7,jgl,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:adfab52b74587bc5acc4201c140451a,oe:team:c334c629fea759876e9e04afbe4aee7,mid,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:cbfc4c587ee049e419eefd386c1acd3,oe:team:c334c629fea759876e9e04afbe4aee7,sup,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:e4e943fa882367a96fb2a365de4e28c,oe:team:c334c629fea759876e9e04afbe4aee7,top,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:30bccf285c11c18d7698c98ca52d87d,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,jgl,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,True,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:4d2f4b9fa48af3a3618b2cbac02fa9b,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,sup,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:51d421a31ce72460198ef946995fb11,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,bot,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:574ca24646bea0e378813db54092903,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,top,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:e95a34ce4e7feb3a2939c52ddac5d17,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,mid,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:526e67744f0b90739ec17c191c62d24,oe:team:f7f7324c151aa6ed770b244ce08e027,bot,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,True,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:61f2c08eb43e1b4fc0bdd988013ee49,oe:team:f7f7324c151aa6ed770b244ce08e027,top,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:6841f2d68619d53bdd1cdbf30b5be2c,oe:team:f7f7324c151aa6ed770b244ce08e027,sup,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:c271341160441d375411fef9bf2f9ef,oe:team:f7f7324c151aa6ed770b244ce08e027,jgl,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:c8c5277fe212c2d6d1245bae74294ee,oe:team:f7f7324c151aa6ed770b244ce08e027,mid,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:10fcffece0ac7be85f09c4b51a75762,oe:team:fc8e90107dabb9a35c490b0d86adea0,bot,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,True,False,0.0,1.8606601717798212,nan,True,PASS
oe:player:7adc518d589f32912c06de8dae7848e,oe:team:fc8e90107dabb9a35c490b0d86adea0,mid,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,False,False,0.0,1.8606601717798212,nan,True,PASS
