series_id,team_id,opponent_team_id,prediction_period_id,season,split,stage,series_date,series_format,target_cutoff,match_status,match_keys,evidence_class
oe_structural:2020:2020-01-26:07cce5d43783,oe:team:c334c629fea759876e9e04afbe4aee7,oe:team:2e66da41dc460dd378e3bcc57042d31,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-26,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:c334c629fea759876e9e04afbe4aee7, cutoff<=2020-01-26T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-26:1c572339d63b,oe:team:c334c629fea759876e9e04afbe4aee7,oe:team:a22510a4756fa424cb0771b13261139,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-26,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:c334c629fea759876e9e04afbe4aee7, cutoff<=2020-01-26T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-02-01:3c262238827f,oe:team:c334c629fea759876e9e04afbe4aee7,oe:team:fc8e90107dabb9a35c490b0d86adea0,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-02-01,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:c334c629fea759876e9e04afbe4aee7, cutoff<=2020-02-01T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-26:ec2047abec64,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,oe:team:2e66da41dc460dd378e3bcc57042d31,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-26,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b, cutoff<=2020-01-26T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-02-01:315c982cd10f,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-02-01,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b, cutoff<=2020-02-01T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-26:a28179167c6f,oe:team:f7f7324c151aa6ed770b244ce08e027,oe:team:0dbb780176ecad18f17292d1f5653af,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-26,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:f7f7324c151aa6ed770b244ce08e027, cutoff<=2020-01-26T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-28:6c48bbf14b0e,oe:team:f7f7324c151aa6ed770b244ce08e027,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-28,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:f7f7324c151aa6ed770b244ce08e027, cutoff<=2020-01-28T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-26:30faa5cc03ce,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe:team:87ee02298073abc2d55060f097d4041,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-26,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:fc8e90107dabb9a35c490b0d86adea0, cutoff<=2020-01-26T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-02-01:3c262238827f,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe:team:c334c629fea759876e9e04afbe4aee7,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-02-01,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:fc8e90107dabb9a35c490b0d86adea0, cutoff<=2020-02-01T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-08-04:cb7009a9e22f,oe:team:2e66da41dc460dd378e3bcc57042d31,oe:team:b360f1d729b0a8e0f29a5243c4200fa,period:03ffd32cfddfafb63d73,2024.0,Summer,regular,2024-08-04,BO3,2024-08-03T20:08:15+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:2e66da41dc460dd378e3bcc57042d31, cutoff<=2024-08-04T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-08-05:c80f1a63182e,oe:team:2e66da41dc460dd378e3bcc57042d31,oe:team:b360f1d729b0a8e0f29a5243c4200fa,period:03ffd32cfddfafb63d73,2024.0,Summer,regular,2024-08-05,BO3,2024-08-03T20:08:15+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:2e66da41dc460dd378e3bcc57042d31, cutoff<=2024-08-05T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-08-10:4c754058e203,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,oe:team:b360f1d729b0a8e0f29a5243c4200fa,period:03ffd32cfddfafb63d73,2024.0,Summer,regular,2024-08-10,BO3,2024-08-03T20:08:15+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6, cutoff<=2024-08-10T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-08-04:8b04494a4762,oe:team:8eb884e168f28402ce685bedebb5250,oe:team:fc8e90107dabb9a35c490b0d86adea0,period:03ffd32cfddfafb63d73,2024.0,Summer,regular,2024-08-04,BO3,2024-08-03T20:08:15+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:8eb884e168f28402ce685bedebb5250, cutoff<=2024-08-04T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-08-10:23655141ae9e,oe:team:8eb884e168f28402ce685bedebb5250,oe:team:e758ebe9a5a2cc81b9c8078479c2d87,period:03ffd32cfddfafb63d73,2024.0,Summer,regular,2024-08-10,BO3,2024-08-03T20:08:15+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:8eb884e168f28402ce685bedebb5250, cutoff<=2024-08-10T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-08-04:cb7009a9e22f,oe:team:b360f1d729b0a8e0f29a5243c4200fa,oe:team:2e66da41dc460dd378e3bcc57042d31,period:03ffd32cfddfafb63d73,2024.0,Summer,regular,2024-08-04,BO3,2024-08-03T20:08:15+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:b360f1d729b0a8e0f29a5243c4200fa, cutoff<=2024-08-04T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-08-05:c80f1a63182e,oe:team:b360f1d729b0a8e0f29a5243c4200fa,oe:team:2e66da41dc460dd378e3bcc57042d31,period:03ffd32cfddfafb63d73,2024.0,Summer,regular,2024-08-05,BO3,2024-08-03T20:08:15+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:b360f1d729b0a8e0f29a5243c4200fa, cutoff<=2024-08-05T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-08-10:4c754058e203,oe:team:b360f1d729b0a8e0f29a5243c4200fa,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:03ffd32cfddfafb63d73,2024.0,Summer,regular,2024-08-10,BO3,2024-08-03T20:08:15+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:b360f1d729b0a8e0f29a5243c4200fa, cutoff<=2024-08-10T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-08-10:23655141ae9e,oe:team:e758ebe9a5a2cc81b9c8078479c2d87,oe:team:8eb884e168f28402ce685bedebb5250,period:03ffd32cfddfafb63d73,2024.0,Summer,regular,2024-08-10,BO3,2024-08-03T20:08:15+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:e758ebe9a5a2cc81b9c8078479c2d87, cutoff<=2024-08-10T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-08-04:8b04494a4762,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe:team:8eb884e168f28402ce685bedebb5250,period:03ffd32cfddfafb63d73,2024.0,Summer,regular,2024-08-04,BO3,2024-08-03T20:08:15+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:fc8e90107dabb9a35c490b0d86adea0, cutoff<=2024-08-04T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2026:2026-02-15:1e92140e8cd2,oe:team:289284911fb6f41c0ccaecc3a0c2891,oe:team:f90422f1cbcb24bc2a855202582ec29,period:0433ceb2175e1870c17a,2026.0,Lock-In,regular,2026-02-15,BO1,2026-02-14T21:11:50+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2026, team=oe:team:289284911fb6f41c0ccaecc3a0c2891, cutoff<=2026-02-15T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2026:2026-02-20:c66ab44e68cc,oe:team:289284911fb6f41c0ccaecc3a0c2891,oe:team:8eb884e168f28402ce685bedebb5250,period:0433ceb2175e1870c17a,2026.0,Lock-In,regular,2026-02-20,BO1,2026-02-14T21:11:50+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2026, team=oe:team:289284911fb6f41c0ccaecc3a0c2891, cutoff<=2026-02-20T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2026:2026-02-15:6113d9e252dc,oe:team:2e66da41dc460dd378e3bcc57042d31,oe:team:fc8e90107dabb9a35c490b0d86adea0,period:0433ceb2175e1870c17a,2026.0,Lock-In,regular,2026-02-15,BO1,2026-02-14T21:11:50+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2026, team=oe:team:2e66da41dc460dd378e3bcc57042d31, cutoff<=2026-02-15T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2026:2026-02-15:1e92140e8cd2,oe:team:f90422f1cbcb24bc2a855202582ec29,oe:team:289284911fb6f41c0ccaecc3a0c2891,period:0433ceb2175e1870c17a,2026.0,Lock-In,regular,2026-02-15,BO1,2026-02-14T21:11:50+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2026, team=oe:team:f90422f1cbcb24bc2a855202582ec29, cutoff<=2026-02-15T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2026:2026-02-15:6113d9e252dc,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe:team:2e66da41dc460dd378e3bcc57042d31,period:0433ceb2175e1870c17a,2026.0,Lock-In,regular,2026-02-15,BO1,2026-02-14T21:11:50+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2026, team=oe:team:fc8e90107dabb9a35c490b0d86adea0, cutoff<=2026-02-15T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-02-11:a7b7697d2e92,oe:team:0dbb780176ecad18f17292d1f5653af,oe:team:e758ebe9a5a2cc81b9c8078479c2d87,period:06566a2ea584fecf6c15,2024.0,Spring,regular,2024-02-11,BO1,2024-02-10T21:07:54+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:0dbb780176ecad18f17292d1f5653af, cutoff<=2024-02-11T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-02-11:7e4a082e2606,oe:team:2e66da41dc460dd378e3bcc57042d31,oe:team:c334c629fea759876e9e04afbe4aee7,period:06566a2ea584fecf6c15,2024.0,Spring,regular,2024-02-11,BO1,2024-02-10T21:07:54+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:2e66da41dc460dd378e3bcc57042d31, cutoff<=2024-02-11T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-03-02:84bab55cb7cc,oe:team:2e66da41dc460dd378e3bcc57042d31,oe:team:fc8e90107dabb9a35c490b0d86adea0,period:06566a2ea584fecf6c15,2024.0,Spring,regular,2024-03-02,BO1,2024-02-10T21:07:54+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:2e66da41dc460dd378e3bcc57042d31, cutoff<=2024-03-02T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-02-11:2cc5a58e351d,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,oe:team:fc8e90107dabb9a35c490b0d86adea0,period:06566a2ea584fecf6c15,2024.0,Spring,regular,2024-02-11,BO1,2024-02-10T21:07:54+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6, cutoff<=2024-02-11T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-02-11:e454dfc0160b,oe:team:8eb884e168f28402ce685bedebb5250,oe:team:b360f1d729b0a8e0f29a5243c4200fa,period:06566a2ea584fecf6c15,2024.0,Spring,regular,2024-02-11,BO1,2024-02-10T21:07:54+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:8eb884e168f28402ce685bedebb5250, cutoff<=2024-02-11T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-03-02:44cc4b3fdfa8,oe:team:8eb884e168f28402ce685bedebb5250,oe:team:e758ebe9a5a2cc81b9c8078479c2d87,period:06566a2ea584fecf6c15,2024.0,Spring,regular,2024-03-02,BO1,2024-02-10T21:07:54+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:8eb884e168f28402ce685bedebb5250, cutoff<=2024-03-02T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-02-11:e454dfc0160b,oe:team:b360f1d729b0a8e0f29a5243c4200fa,oe:team:8eb884e168f28402ce685bedebb5250,period:06566a2ea584fecf6c15,2024.0,Spring,regular,2024-02-11,BO1,2024-02-10T21:07:54+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:b360f1d729b0a8e0f29a5243c4200fa, cutoff<=2024-02-11T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-03-02:4a2a99fea1e0,oe:team:b360f1d729b0a8e0f29a5243c4200fa,oe:team:c334c629fea759876e9e04afbe4aee7,period:06566a2ea584fecf6c15,2024.0,Spring,regular,2024-03-02,BO1,2024-02-10T21:07:54+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:b360f1d729b0a8e0f29a5243c4200fa, cutoff<=2024-03-02T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-02-11:7e4a082e2606,oe:team:c334c629fea759876e9e04afbe4aee7,oe:team:2e66da41dc460dd378e3bcc57042d31,period:06566a2ea584fecf6c15,2024.0,Spring,regular,2024-02-11,BO1,2024-02-10T21:07:54+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:c334c629fea759876e9e04afbe4aee7, cutoff<=2024-02-11T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-03-02:4a2a99fea1e0,oe:team:c334c629fea759876e9e04afbe4aee7,oe:team:b360f1d729b0a8e0f29a5243c4200fa,period:06566a2ea584fecf6c15,2024.0,Spring,regular,2024-03-02,BO1,2024-02-10T21:07:54+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:c334c629fea759876e9e04afbe4aee7, cutoff<=2024-03-02T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2024:2024-02-11:a7b7697d2e92,oe:team:e758ebe9a5a2cc81b9c8078479c2d87,oe:team:0dbb780176ecad18f17292d1f5653af,period:06566a2ea584fecf6c15,2024.0,Spring,regular,2024-02-11,BO1,2024-02-10T21:07:54+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2024, team=oe:team:e758ebe9a5a2cc81b9c8078479c2d87, cutoff<=2024-02-11T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
