team_id,prediction_period_id,opponent_count,scheduled_series_count,series_format,best_of,scheduled_game_floor,expected_games_total,days_to_first_series,schedule_density,multi_opponent_indicator,target_cutoff,evidence_class,quality_status
oe:team:0dbb780176ecad18f17292d1f5653af,period:06566a2ea584fecf6c15,1,1,BO1,1.0,1.0,1.0,0,1.0,0.0,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:06566a2ea584fecf6c15,2,2,BO1,1.0,2.0,2.0,0,0.09523809523809523,1.0,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:06566a2ea584fecf6c15,1,1,BO1,1.0,1.0,1.0,0,1.0,0.0,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:8eb884e168f28402ce685bedebb5250,period:06566a2ea584fecf6c15,2,2,BO1,1.0,2.0,2.0,0,0.09523809523809523,1.0,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:b360f1d729b0a8e0f29a5243c4200fa,period:06566a2ea584fecf6c15,2,2,BO1,1.0,2.0,2.0,0,0.09523809523809523,1.0,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:c334c629fea759876e9e04afbe4aee7,period:06566a2ea584fecf6c15,2,2,BO1,1.0,2.0,2.0,0,0.09523809523809523,1.0,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:e758ebe9a5a2cc81b9c8078479c2d87,period:06566a2ea584fecf6c15,2,2,BO1,1.0,2.0,2.0,0,0.09523809523809523,1.0,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:06566a2ea584fecf6c15,2,2,BO1,1.0,2.0,2.0,0,0.09523809523809523,1.0,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:0dbb780176ecad18f17292d1f5653af,period:0836494c11a0b381c084,1,1,BO5,5.0,4.0,4.0,1,1.0,0.0,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:0836494c11a0b381c084,2,3,BO5,5.0,12.0,12.0,0,0.42857142857142855,1.0,2020-08-13T19:38:23+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
