team_id,prediction_period_id,opponent_team_id,series_id,season,split,stage,series_date,series_format,best_of,expected_games,expected_games_method,target_cutoff,evidence_class,quality_status
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:03ffd32cfddfafb63d73,oe:team:8eb884e168f28402ce685bedebb5250,oe_structural:2024:2024-08-04:8b04494a4762,2024.0,Summer,regular,2024-08-04,BO3,3,2.5,phase_f_unfitted_engineering_priors_v1,2024-08-03T20:08:15+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:289284911fb6f41c0ccaecc3a0c2891,period:0433ceb2175e1870c17a,oe:team:f90422f1cbcb24bc2a855202582ec29,oe_structural:2026:2026-02-15:1e92140e8cd2,2026.0,Lock-In,regular,2026-02-15,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2026-02-14T21:11:50+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:289284911fb6f41c0ccaecc3a0c2891,period:0433ceb2175e1870c17a,oe:team:8eb884e168f28402ce685bedebb5250,oe_structural:2026:2026-02-20:c66ab44e68cc,2026.0,Lock-In,regular,2026-02-20,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2026-02-14T21:11:50+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:0433ceb2175e1870c17a,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe_structural:2026:2026-02-15:6113d9e252dc,2026.0,Lock-In,regular,2026-02-15,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2026-02-14T21:11:50+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:f90422f1cbcb24bc2a855202582ec29,period:0433ceb2175e1870c17a,oe:team:289284911fb6f41c0ccaecc3a0c2891,oe_structural:2026:2026-02-15:1e92140e8cd2,2026.0,Lock-In,regular,2026-02-15,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2026-02-14T21:11:50+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:0433ceb2175e1870c17a,oe:team:2e66da41dc460dd378e3bcc57042d31,oe_structural:2026:2026-02-15:6113d9e252dc,2026.0,Lock-In,regular,2026-02-15,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2026-02-14T21:11:50+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:0dbb780176ecad18f17292d1f5653af,period:06566a2ea584fecf6c15,oe:team:e758ebe9a5a2cc81b9c8078479c2d87,oe_structural:2024:2024-02-11:a7b7697d2e92,2024.0,Spring,regular,2024-02-11,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:06566a2ea584fecf6c15,oe:team:c334c629fea759876e9e04afbe4aee7,oe_structural:2024:2024-02-11:7e4a082e2606,2024.0,Spring,regular,2024-02-11,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:2e66da41dc460dd378e3bcc57042d31,period:06566a2ea584fecf6c15,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe_structural:2024:2024-03-02:84bab55cb7cc,2024.0,Spring,regular,2024-03-02,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:06566a2ea584fecf6c15,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe_structural:2024:2024-02-11:2cc5a58e351d,2024.0,Spring,regular,2024-02-11,BO1,1,1.0,phase_f_unfitted_engineering_priors_v1,2024-02-10T21:07:54+00:00,STRUCTURAL_RECONCILIATION_ONLY,STRUCTURAL_RECONCILIATION
