year,prediction_period,player,role,team,team_fe_delta,s30_base_pred,s30_cand_pred,s30_base_share,s30_cand_share,fe_base_delta,fe_cand_delta,fe_share_diff
2024,2024-01-22 00:00:00+00:00,Massu,BOT,FlyQuest,-2.028922799999999,15.0434,15.1775,0.2192,0.2159,-0.4448,-0.438,0.0068
2024,2024-01-22 00:00:00+00:00,Meech,BOT,100 Thieves,-0.8453845,13.2553,12.1969,0.1997,0.1887,-0.1688,-0.1595,0.0093
2024,2024-01-22 00:00:00+00:00,Olleh,SUP,Immortals,-3.2124611000000005,12.7741,13.1322,0.2027,0.2121,-0.6513,-0.6814,-0.0301
2024,2024-01-22 00:00:00+00:00,Palafox,MID,NRG,-3.1279226499999995,15.9141,15.9175,0.2177,0.2199,-0.681,-0.6879,-0.0069
2024,2024-01-22 00:00:00+00:00,Quid,MID,100 Thieves,-0.8453845,15.8817,15.9518,0.2393,0.2468,-0.2023,-0.2086,-0.0063
2024,2024-01-22 00:00:00+00:00,Rich,TOP,Dignitas,-5.579537699999998,12.2132,12.3621,0.1856,0.1889,-1.0356,-1.0538,-0.0182
2024,2024-01-22 00:00:00+00:00,River,JGL,100 Thieves,-0.8453845,12.3919,12.0146,0.1867,0.1859,-0.1578,-0.1571,0.0007
2024,2024-01-22 00:00:00+00:00,Sniper,TOP,100 Thieves,-0.8453845,12.2313,11.8403,0.1843,0.1832,-0.1558,-0.1548,0.0009
2024,2024-01-22 00:00:00+00:00,Tactical,BOT,Immortals,-3.2124611000000005,15.0756,15.4991,0.2393,0.2504,-0.7687,-0.8043,-0.0356
2024,2024-01-22 00:00:00+00:00,Tomo,BOT,Dignitas,-5.579537699999998,14.7915,15.0129,0.2248,0.2294,-1.2543,-1.2798,-0.0255
2024,2024-01-22 00:00:00+00:00,UmTi,JGL,Team Liquid,-2.5361535,10.0808,9.6802,0.1497,0.1434,-0.3797,-0.3638,0.0159
2024,2024-01-22 00:00:00+00:00,Vulcan,SUP,Cloud9,1.1835383000000017,13.956,14.0768,0.2004,0.192,0.2371,0.2273,-0.0099
2024,2024-01-22 00:00:00+00:00,Yeon,BOT,Team Liquid,-2.5361535,15.3988,15.6478,0.2287,0.2319,-0.58,-0.588,-0.008
2024,2024-01-22 00:00:00+00:00,Zeyzal,SUP,Shopify Rebellion,-4.0578456,13.3312,13.7656,0.2,0.2095,-0.8117,-0.8501,-0.0384
2024,2024-01-22 00:00:00+00:00,eXyu,JGL,Dignitas,-5.579537699999998,11.4005,10.9806,0.1733,0.1678,-0.9667,-0.936,0.0307
2024,2024-01-22 00:00:00+00:00,huhi,SUP,NRG,-3.1279226499999995,13.8601,13.6779,0.1896,0.189,-0.5931,-0.5911,0.002
2024,2024-01-29 00:00:00+00:00,APA,MID,Team Liquid,-1.6484997749999994,15.1844,14.8799,0.2245,0.2196,-0.3701,-0.3621,0.008
2024,2024-01-29 00:00:00+00:00,Armao,JGL,Immortals,-5.9176914999999966,11.5246,11.5155,0.1674,0.1655,-0.9908,-0.9795,0.0114
2024,2024-01-29 00:00:00+00:00,Berserker,BOT,Cloud9,3.043384199999998,14.6862,15.5038,0.2044,0.212,0.6221,0.6453,0.0232
2024,2024-01-29 00:00:00+00:00,Blaber,JGL,Cloud9,3.043384199999998,12.9329,12.6724,0.18,0.1733,0.5478,0.5274,-0.0204
2024,2024-01-29 00:00:00+00:00,Bugi,JGL,Shopify Rebellion,0.1268076750000018,11.6478,11.7061,0.1701,0.167,0.0216,0.0212,-0.0004
2024,2024-01-29 00:00:00+00:00,Busio,SUP,FlyQuest,-0.1690768999999994,14.1228,14.2826,0.2054,0.2103,-0.0347,-0.0356,-0.0008
2024,2024-01-29 00:00:00+00:00,Bvoy,BOT,Shopify Rebellion,0.1268076750000018,15.6582,16.1804,0.2287,0.2309,0.029,0.0293,0.0003
2024,2024-01-29 00:00:00+00:00,Bwipo,TOP,FlyQuest,-0.1690768999999994,13.3145,13.0531,0.1937,0.1922,-0.0327,-0.0325,0.0002
2024,2024-01-29 00:00:00+00:00,Castle,TOP,Immortals,-5.9176914999999966,12.9912,12.6982,0.1887,0.1825,-1.1169,-1.08,0.0369
2024,2024-01-29 00:00:00+00:00,Contractz,JGL,NRG,3.170191875,12.5845,13.0886,0.1757,0.1753,0.5571,0.5557,-0.0014
2024,2024-01-29 00:00:00+00:00,CoreJJ,SUP,Team Liquid,-1.6484997749999994,13.2415,13.3574,0.1958,0.1972,-0.3227,-0.325,-0.0023
2024,2024-01-29 00:00:00+00:00,Dhokla,TOP,NRG,3.170191875,13.3118,13.7238,0.1859,0.1838,0.5893,0.5826,-0.0066
2024,2024-01-29 00:00:00+00:00,Dove,MID,Dignitas,1.9866535750000012,14.0878,12.9403,0.2108,0.2035,0.4188,0.4043,-0.0145
2024,2024-01-29 00:00:00+00:00,Eyla,SUP,100 Thieves,2.1979997000000013,13.324,13.3215,0.197,0.1976,0.433,0.4342,0.0013
2024,2024-01-29 00:00:00+00:00,FBI,BOT,NRG,3.170191875,16.5802,17.2044,0.2315,0.2304,0.7339,0.7304,-0.0035
2024,2024-01-29 00:00:00+00:00,FakeGod,TOP,Shopify Rebellion,0.1268076750000018,13.0519,12.8048,0.1906,0.1827,0.0242,0.0232,-0.001
2024,2024-01-29 00:00:00+00:00,Fudge,TOP,Cloud9,3.043384199999998,14.2267,14.2759,0.198,0.1952,0.6026,0.5942,-0.0085
