year,n,s30_baseline_MAE,s30_candidate_MAE,s30_MAE_delta,ce_baseline_MAE,ce_candidate_MAE,ce_MAE_delta,ce_baseline_RMSE,ce_candidate_RMSE,ce_baseline_Spearman,ce_candidate_Spearman,ce_improves_with_s30
2024,675,5.0774,5.0572,-0.0202,5.048,5.0232,-0.0248,6.2289,6.1971,0.2526,0.2613,True
2025,838,5.5697,5.4983,-0.0714,5.4024,5.3379,-0.0645,6.76,6.673,0.3448,0.3826,True
