candidate_id,family,window_or_hl,is_baseline,is_sensitivity_only,alpha,2024_n,2024_MAE,2024_RMSE,2024_bias,2024_Spearman,2025_n,2025_MAE,2025_RMSE,2025_bias,2025_Spearman,pooled_n,pooled_MAE,pooled_RMSE,pooled_bias,pooled_Spearman,MAE_diff_vs_baseline_pooled,rel_MAE_diff_pooled_pct,MAE_diff_ci95_low,MAE_diff_ci95_high,p_value_mae_improvement
RECENCY_15_SENSITIVITY,fixed_window,15,False,True,0.1,675,5.0692,6.1756,-0.5871,0.2648,838,5.4439,6.7879,-1.2616,0.3594,1513,5.2767,6.5219,-0.9607,0.3203,-0.0734,-1.371,-0.1273,-0.0179,0.993
RECENCY_EWMA_H6,exponential_decay,5,False,False,0.1,675,5.0585,6.1823,-0.6212,0.2622,838,5.4772,6.8381,-1.2867,0.3378,1513,5.2904,6.5537,-0.9898,0.3063,-0.0597,-1.115,-0.0963,-0.0237,1.0
RECENCY_EWMA_H4,exponential_decay,5,False,False,0.1,675,5.0572,6.1915,-0.6498,0.2599,838,5.4983,6.8687,-1.3122,0.3253,1513,5.3016,6.5752,-1.0167,0.2976,-0.0485,-0.907,-0.0784,-0.0189,1.0
RECENCY_10,fixed_window,10,False,False,0.1,675,5.1093,6.2355,-0.6402,0.2333,838,5.5049,6.8682,-1.2801,0.3197,1513,5.3284,6.5934,-0.9946,0.2836,-0.0217,-0.405,-0.058,0.0166,0.858
RECENCY_EWMA_H2,exponential_decay,5,False,False,0.1,675,5.0681,6.2201,-0.7251,0.2554,838,5.5459,6.9386,-1.3778,0.2953,1513,5.3327,6.6277,-1.0866,0.2772,-0.0174,-0.325,-0.0401,0.0073,0.92
RECENCY_7,fixed_window,7,False,False,0.1,675,5.0788,6.214,-0.6935,0.2503,838,5.5389,6.9246,-1.3229,0.2979,1513,5.3336,6.617,-1.0421,0.2768,-0.0165,-0.308,-0.0407,0.0072,0.913
RECENCY_5_BASELINE,fixed_window,5,True,False,0.1,675,5.0774,6.225,-0.734,0.2505,838,5.5697,6.9654,-1.353,0.2759,1513,5.3501,6.6453,-1.0768,0.2649,0.0,0.0,0.0,0.0,0.0
RECENCY_3,fixed_window,3,False,False,0.1,675,5.1014,6.2586,-0.8177,0.2456,838,5.6067,7.0218,-1.4856,0.2605,1513,5.3813,6.6921,-1.1876,0.2529,0.0312,0.582,-0.0026,0.0652,0.036
