prediction_period,season,scheduled_start_utc,team_a_source,team_b_source,team_a_id,team_b_id,best_of,source_type,source_name,source_url,provenance_class,fixed_before_prediction,schedule_change_flag,validation_status,fixture_id
2024-01-22 00:00:00+00:00,2024,2024-01-27T23:00:00Z,Shopify Rebellion,Immortals,team:shopify_rebellion,team:immortals,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:b9f752bcdee5bea3bd42
2024-01-22 00:00:00+00:00,2024,2024-01-28T20:00:00Z,Dignitas,100 Thieves,team:dignitas,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:0efad8381a0f419710f7
2024-01-22 00:00:00+00:00,2024,2024-01-28T21:00:00Z,Shopify Rebellion,Cloud9,team:shopify_rebellion,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:56ba049225becafcdabd
2024-01-22 00:00:00+00:00,2024,2024-01-28T22:00:00Z,NRG,FlyQuest,team:nrg,team:flyquest,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:32de0e1e31cc18d06de2
2024-01-22 00:00:00+00:00,2024,2024-01-28T23:00:00Z,Team Liquid,Immortals,team:team_liquid,team:immortals,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:5a28c047561b14411f65
2024-01-29 00:00:00+00:00,2024,2024-02-02T21:00:00Z,Immortals,Cloud9,team:immortals,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:59983b3be36f58840134
2024-01-29 00:00:00+00:00,2024,2024-02-02T22:00:00Z,Team Liquid,NRG,team:team_liquid,team:nrg,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:439a15a23ba8aa553f8c
2024-01-29 00:00:00+00:00,2024,2024-02-02T23:00:00Z,Dignitas,Shopify Rebellion,team:dignitas,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:0818ac32b1360e205bc8
2024-01-29 00:00:00+00:00,2024,2024-02-03T00:00:00Z,FlyQuest,100 Thieves,team:flyquest,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:62b4b1ad5ab5cd97f2e5
2024-01-29 00:00:00+00:00,2024,2024-02-03T21:00:00Z,Team Liquid,Dignitas,team:team_liquid,team:dignitas,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:b2556fb0aff046984a0a
2024-01-29 00:00:00+00:00,2024,2024-02-03T22:00:00Z,FlyQuest,Cloud9,team:flyquest,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:cad14052bf5b985bdd3b
2024-01-29 00:00:00+00:00,2024,2024-02-03T23:00:00Z,Immortals,100 Thieves,team:immortals,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:9d615e439af6b8be29dd
2024-01-29 00:00:00+00:00,2024,2024-02-04T00:00:00Z,NRG,Shopify Rebellion,team:nrg,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:916b4e28af9c01a9d23c
2024-01-29 00:00:00+00:00,2024,2024-02-04T21:00:00Z,FlyQuest,Dignitas,team:flyquest,team:dignitas,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:bf6778f582355e4fe905
2024-01-29 00:00:00+00:00,2024,2024-02-04T22:00:00Z,Team Liquid,Cloud9,team:team_liquid,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:f388aaa9ca4ad6e66e15
2024-01-29 00:00:00+00:00,2024,2024-02-04T23:00:00Z,Shopify Rebellion,100 Thieves,team:shopify_rebellion,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:32733319841a426180da
2024-02-05 00:00:00+00:00,2024,2024-02-05T00:00:00Z,NRG,Immortals,team:nrg,team:immortals,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:61b9debd4d88bee96698
2024-02-05 00:00:00+00:00,2024,2024-02-10T21:00:00Z,NRG,Cloud9,team:nrg,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:12181165a5b3d20da419
2024-02-05 00:00:00+00:00,2024,2024-02-10T22:00:00Z,Immortals,Dignitas,team:immortals,team:dignitas,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:1ca4a3f4762aa37808c9
2024-02-05 00:00:00+00:00,2024,2024-02-10T23:00:00Z,Team Liquid,100 Thieves,team:team_liquid,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:79451cc77db30c2eb780
2024-02-05 00:00:00+00:00,2024,2024-02-11T00:00:00Z,FlyQuest,Shopify Rebellion,team:flyquest,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:d6e61787c85cdae5dd76
2024-02-05 00:00:00+00:00,2024,2024-02-11T21:00:00Z,Cloud9,100 Thieves,team:cloud9,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:b6d1062b9d75c7249a24
2024-02-05 00:00:00+00:00,2024,2024-02-11T22:00:00Z,NRG,Dignitas,team:nrg,team:dignitas,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:a9a7716100f90311197b
2024-02-05 00:00:00+00:00,2024,2024-02-11T23:00:00Z,Team Liquid,Shopify Rebellion,team:team_liquid,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:cbc5bcaf06b6b4df21db
2024-02-12 00:00:00+00:00,2024,2024-02-12T00:00:00Z,Immortals,FlyQuest,team:immortals,team:flyquest,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:d1ffdf6d4a0fb09a8c16
2024-02-26 00:00:00+00:00,2024,2024-03-02T21:00:00Z,Immortals,Shopify Rebellion,team:immortals,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:7d0797a87e67ad862429
2024-02-26 00:00:00+00:00,2024,2024-03-02T22:00:00Z,FlyQuest,Cloud9,team:flyquest,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:30a836b8fd85492648ac
2024-02-26 00:00:00+00:00,2024,2024-03-02T23:00:00Z,Team Liquid,NRG,team:team_liquid,team:nrg,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:696cf68f630d41e6692a
2024-02-26 00:00:00+00:00,2024,2024-03-03T00:00:00Z,Dignitas,100 Thieves,team:dignitas,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:d9cec3f161be584f2cae
2024-02-26 00:00:00+00:00,2024,2024-03-03T21:00:00Z,NRG,Immortals,team:nrg,team:immortals,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:6e4ba601cb8ea04abe5a
2024-02-26 00:00:00+00:00,2024,2024-03-03T22:00:00Z,100 Thieves,FlyQuest,team:100_thieves,team:flyquest,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:fa807c907b9f71e55914
