role,players,hits,hit_at_1,mean_bonus
BOT,8,3,0.375,2.085
JGL,7,2,0.2857,1.9063
MID,8,1,0.125,1.1408
SUP,8,2,0.25,1.794
TOP,8,5,0.625,1.785
